序号,CAS号,UN号,中文名称,别名,"毒性a,b",燃烧爆炸特性,加压气体,其他危害c,介质与金属材料相容性提示d,反应和稳定性提示,危害提示,GHS健康和环境危害类别b,附加信息
62,110-60-1,2925,"1,4-丁二胺","1,4-二氨基丁烷;四甲基二胺;腐肉碱",II,易爆介质,-,-,碱腐蚀、碱脆、胺腐蚀,与强氧化剂等禁配物发生剧烈反应。禁配物:强氧化剂、酸类、酰基氯、酸酐。危险的分解产物:无资料,"皮肤接触会中毒,吸入致命,可引起皮肤腐蚀","急性毒性-经口,类别4急性毒性-经皮,类别3急性毒性-吸入,类别2皮肤腐蚀/刺激,类别1B严重眼损伤/眼刺激,类别1",-
63,107-88-0,-,"1,3-丁二醇",-,-,易爆介质,-,-,低分子有机酸腐蚀,-,-,"严重眼损伤/眼刺激,类别2A",-
64,460-12-8,3161,丁二炔,二乙炔,无资料,易爆介质,无资料,无资料,-,无资料,无资料,无资料,-
65,106-99-0,1010,"1,3-丁二烯[稳定的]",联乙烯,-(II-密封性),"易爆介质;易燃气体,类别1",加压气体,-,-,"与强氧化剂、卤素等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂、卤素、氧、铜合金、酸类。危险的分解产物:无资料","极易燃气体,内装加压气体:遇热可能爆炸,可能导致癌","生殖细胞致突变性,类别1B致癌性,类别1A",G1
66,96-48-0,-,γ-丁内酯,4-丁内酯,IV,易爆介质,-,-,-,-,造成严重眼损伤,"急性毒性-经口,类别4皮肤腐蚀/刺激,类别3严重眼损伤/眼刺激,类别1特异性靶器官毒性一次接触,类别2(中枢神经系统)特异性靶器官毒性一次接触,类别3(麻醉作用)",-
67,503-17-3,1144,2-丁炔,巴豆炔；二甲基乙炔,-,易爆介质；易燃液体，类别1,-,-,-,与强氧化剂、碱金属等禁配物接触，有发生火灾和爆炸的危险。高热下易发生聚合。禁配物：强氧化剂、碱金属、碱土金属、重金属及重金属盐、卤素。危险的分解产物：无资料,极易燃液体,-,-
68,78-93-3,1193,2-丁酮,丁酮；乙基甲基酮；甲乙酮,-/IV,易爆介质；易燃液体，类别2,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、碱类、强还原剂。危险的分解产物：无资料,高度易燃液体,严重眼损伤/眼刺激，类别2特异性靶器官毒性-一次接触，类别3(麻醉效应),-
69,106-98-9,1012,1-丁烯,-,-,易爆介质；易燃气体，类别1,加压气体,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强酸、过氧酸、卤素。危险的分解产物：无资料,极易燃气体，内装加压气体：遇热可能爆炸；单纯性窒息,-,-
70,624-64-6,1012,2-丁烯(反),-,-,易爆介质；易燃气体，类别1,加压气体,-,-,-,极易燃气体，内装加压气体：遇热可能爆炸,-,-
71,590-18-1,1012,2-丁烯(顺),-,-,易爆介质；易燃气体，类别1,加压气体,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强酸、过氧酸、卤素。危险的分解产物：无资料,极易燃气体，内装加压气体：遇热可能爆炸,-,-
72,6117-91-5,1987,2-丁烯-1-醇,巴豆醇；丁烯醇；2-丁烯醇,IV,易爆介质；易燃液体，类别3,-,-,-,与强酸、强氧化剂、强还原剂、酰基氯、酸酐等禁配物接触，有引起燃烧爆炸的危险。容易发生自聚反应。禁配物：强酸、强氧化剂、强还原剂、酰基氯、酸酐。危险的分解产物：无资料,易燃液体,急性毒性-经口，类别4急性毒性-吸入，类别4,-
73,109-75-1,3275,3-丁烯腈,烯丙基氰,II,"易燃液体,类别3",-,-,低分子有机酸腐蚀,"与强氧化剂、强酸、强碱、强还原剂等禁配物接触,有发生火灾和爆炸的危险。受热分解或接触酸和酸雾能释出剧毒的氮氧化物和氰化物的烟雾。禁配物:强氧化剂、强酸、强碱、强还原剂。危险的分解产物:氮氧化物、氰化氢","易燃液体,吞咽会中毒,吸入致命,造成严重眼损伤","急性毒性-经口,类别3急性毒性-经皮,类别4急性毒性-吸入,类别2严重眼损伤/眼刺激,类别1生殖毒性,类别1B特异性靶器官毒性-反复接触,类别2",-
74,4170-30-3,1143,2-丁烯醛,巴豆醛;β-甲基丙烯醛;2-丁烯醛(顺),II *,"易爆介质;易燃液体,类别2",-,-,低分子有机酸腐蚀,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。高温下易发生聚合。在空气中易氧化生成过氧化物,受热或撞击,甚至轻微摩擦即发生爆炸。禁配物:强氧化剂、碱类、氧。危险的分解产物:无资料","高度易燃液体,吞咽会中毒,皮肤接触会中毒,吸入致命,造成严重眼损伤","急性毒性-经口,类别3*急性毒性-经皮,类别3*急性毒性-吸入,类别2*皮肤腐蚀/刺激,类别2严重眼损伤/眼刺激,类别1生殖细胞致突变性,类别2特异性靶器官毒性-一次接触,类别3(呼吸道刺激)特异性靶器官毒性-反复接触,类别2*危害水生环境-急性危害,类别1危害水生环境-长期危害,类别1",-
75,123-73-9,1143,2-丁烯醛(反),巴豆醛,II,"易燃液体,类别2",-,-,低分子有机酸腐蚀,-,"高度易燃液体和蒸气,吞咽会中毒,皮肤接触会中毒,吸入致命,造成严重眼损伤","急性毒性-经口,类别3急性毒性-经皮,类别3急性毒性-吸入,类别2皮肤腐蚀/刺激,类别2严重眼损伤/眼刺激,类别1生殖细胞致突变性,类别2特异性靶器官毒性-一次接触,类别3特异性靶器官毒性-反复接触,类别2危害水生环境-急性危害,类别1",-
76,111-76-2,2810,2-丁氧基乙醇,乙二醇丁醚;丁基溶纤剂,II,"易爆介质;易燃液体,类别4",-,-,-,"与强氧化剂、强酸、酰基氯、酸酐、卤素等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂、强酸、酰基氯、酸酐、卤素。危险的分解产物:无资料","皮肤接触会中毒,吸入致命","急性毒性-经口,类别4急性毒性-经皮,类别3急性毒性-吸入,类别2皮肤腐蚀/刺激,类别2严重眼损伤/眼刺激,类别2A",-
77,2921-88-2,2398,毒死蜱,氯吡硫磷,III,-,-,-,-,-,吞咽会中毒,"急性毒性-经口,类别3危害水生环境-急性危害,类别1危害水生环境-长期危害,类别1",-
78,121-57-3,-,对氨基苯磺酸,4-氨基苯磺酸;磺胺酸,-/IV,-,-,-,低分子有机酸腐蚀,与强氧化剂、强酸、强碱等禁配物发生反应。禁配物:强氧化剂、强酸、强碱。危险的分解产物:硫化物、氮氧化物,可能引起皮肤过敏,"皮肤腐蚀/刺激,类别2严重眼损伤/眼刺激,类别2皮肤致敏物,类别1危害水生环境-急性危害,类别3危害水生环境-长期危害,类别3",-
79,30525-89-4,2213,多聚甲醛,"聚蚁醛;聚合甲醛;低聚甲醛,仲甲醛",IV,易爆介质,-,-,-,与强酸、强碱、酸酐、强氧化剂、强还原剂、铜等禁配物发生反应。受热分解释出甲醛气体。禁配物:强酸、强碱、酸酐、强氧化剂、强还原剂、铜。危险的分解产物:甲醛,-,"急性毒性-经口,类别4急性毒性-吸入,类别4皮肤腐蚀/刺激,类别2严重眼损伤/眼刺激,类别2A特异性靶器官毒性-一次接触,类别1特异性靶器官毒性-一次接触,类别3(呼吸道刺激)危害水生环境-急性危害,类别3危害水生环境-长期危害,类别3",-
80,10605-21-7,3077,多菌灵,-,-/IV,-,-,-,-,-,-,"生殖细胞致突变性,类别1B危害水生环境-急性危害,类别1危害水生环境-长期危害,类别1",-
81,1336-36-3,2315(液态);3432(固态),多氯联苯,PCBs;氯化联苯,-(II-密封性)/I,-,-,-,-,与强氧化剂等禁配物发生反应。禁配物:强氧化剂。危险的分解产物:氯化氢,可能致癌,"致癌性,类别1B特异性靶器官毒性-反复接触,类别2*危害水生环境-急性危害,类别1危害水生环境-长期危害,类别1","限,G1"
82,95-80-7,1709,"2,4-二氨基甲苯","甲苯-2,4-二胺;2,4-甲苯二胺",III*,-,-,-,-,与强氧化剂等禁配物发生反应。禁配物:强氧化剂、酸类、酰基氯、酸酐、氯仿。危险的分解产物:氨,"吞咽会致中毒,可能引起皮肤过敏","急性毒性-经口,类别3*皮肤致敏物,类别1生殖细胞致突变性,类别2致癌性,类别2生殖毒性,类别2特异性靶器官毒性-反复接触,类别2*危害水生环境-急性危害,类别2危害水生环境-长期危害,类别2",-
83,95-70-5,2811,"2,5-二氨基甲苯","甲苯-2,5-二胺;2,5-甲苯二胺",III*,-,-,-,-,与强氧化剂等禁配物发生反应。禁配物:强氧化剂、酸类、酰基氯、酸酐、氯仿。危险的分解产物:氨,"吞咽会中毒,能引起皮肤过敏","急性毒性-经口,类别3*急性毒性-经皮,类别4急性毒性-吸入,类别4皮肤致敏物,类别1危害水生环境-急性危害,类别2危害水生环境-长期危害,类别2",-
84,82-66-6,2588,"2-(二苯基乙酰基)-2,3-二氢-1,3-茚满二酮","2-(2,2-二苯基乙酰基)-1,3-茚满二酮;敌鼠",II*,-,-,-,-,与强氧化剂等禁配物发生反应。禁配物:强氧化剂。危险的分解产物:无资料,吞咽致命,"急性毒性-经口,类别2*特异性靶器官毒性-反复接触,类别1",-
85,110-98-5,-,二丙二醇,-,无资料,易爆介质,无资料,无资料,-,无资料,无资料,无资料,-
86,101-84-8,3077,二苯醚,联苯醚苯基醚,IV,易爆介质,-,-,-,-,-,-,"急性毒性-经口,类别5皮肤腐蚀/刺激,类别3严重眼损伤/眼刺激,类别2危害水生环境-急性危害,类别1危害水生环境-长期危害,类别2"
87,7783-41-7,2190,二氟化氧,一氧化二氟,I,-,加压气体,"氧化性气体,类别1",氢脆、氢氟酸腐蚀,"与还原剂、易燃或可燃物、水等禁配物接触,有发生火灾和爆炸的危险。禁配物:还原剂、易燃或可燃物、水蒸气。危险的分解产物:无资料","可引起燃烧或加剧燃烧,氧化剂,内装加压气体:遇热可能爆炸,吸入致命,可引起皮肤腐蚀","急性毒性-吸入,类别1皮肤腐蚀/刺激,类别1严重眼损伤/眼刺激,类别1",-
88,75-37-6,1030,"1,1-二氟乙烷",制冷剂R152a;氟利昂-152,-/IV,"易爆介质;易燃气体,类别1",加压气体,-,-,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂、镁和铝及其合金。危险的分解产物:氟化氢","极易燃气体,内装加压气体:遇热可能爆炸;单纯性窒息","特异性靶器官毒性一次接触,类别3(麻醉效应)",-
89,75-38-7,1959,"1,1-二氟乙烯",制冷剂R1132a;偏氟乙烯,-,"易爆介质;易燃气体,类别1",加压气体,-,-,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。高温下可发生聚合。禁配物:强氧化剂、强酸。危险的分解产物:氟化氢","极易燃气体,内装加压气体:遇热可能爆炸","特异性靶器官毒性一次接触,类别3(麻醉效应)",-
90,124-40-3,1032,二甲胺[无水],-,IV/III,易爆介质；易燃气体，类别1,加压气体,-,胺开裂,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、酸类、卤素。危险的分解产物：无资料,极易燃气体，内装加压气体：遇热可能爆炸，造成严重眼损伤,急性毒性-吸入，类别4皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别1特异性靶器官毒性-一次接触，类别3（呼吸道刺激）,-
91,124-40-3,1160,二甲胺,-,-,易燃液体，类别1,-,-,碱腐蚀、碱脆、胺腐蚀,-,极易燃液体，可引起皮肤腐蚀,皮肤腐蚀/刺激，类别1B严重眼损伤/眼刺激，类别1特异性靶器官毒性-一次接触，类别3（呼吸道刺激）,-
92,95-47-6,1307,"1,2-二甲苯",邻二甲苯,IV/III,易爆介质；易燃液体，类别3,-,-,低分子有机酸腐蚀,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、卤素。危险的分解产物：无资料,易燃液体,急性毒性-经皮，类别4急性毒性-吸入，类别4皮肤腐蚀/刺激，类别2危害水生环境-急性危害，类别2,-
93,108-38-3,1307,"1,3-二甲苯",间二甲苯,IV/III,易爆介质；易燃液体，类别3,-,-,低分子有机酸腐蚀,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、酸类、卤素等。危险的分解产物：无资料。,易燃液体,急性毒性-经皮，类别4急性毒性-吸入，类别4皮肤腐蚀/刺激，类别2危害水生环境-急性危害，类别2,-
94,106-42-3,1307,"1,4-二甲苯",对二甲苯,IV/III,易爆介质；易燃液体，类别3,-,-,低分子有机酸腐蚀,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、酸类、卤素等。危险的分解产物：无资料,易燃液体,急性毒性-经皮，类别4急性毒性-吸入，类别4皮肤腐蚀/刺激，类别2危害水生环境-急性危害，类别2,-
95,1300-71-6,2261,二甲酚,二甲基苯酚,III,-,-,-,-,-,吞咽会中毒，皮肤接触会中毒，造成严重皮肤灼伤和眼损伤,急性毒性-经口，类别3急性毒性-经皮，类别3皮肤腐蚀/刺激，类别1B危害水生环境-长期危害，类别2,-
96,52-68-6,2783,"O,O-二甲基-(2,2,2-三氯-1-羟基乙基)膦酸酯",敌百虫,III/II,-,-,-,-,与强氧化剂等禁配物发生反应。禁配物：强氧化剂、强碱。危险的分解产物：氯化氢、氧化磷,吞咽会中毒，可能引起皮肤过敏,急性毒性-经口，类别3皮肤致敏物，类别1危害水生环境-急性危害，类别1危害水生环境-长期危害，类别1,-
97,62-73-7,3018,"O,O-二甲基O-(2,2-二氯乙烯基)磷酸酯",敌敌畏,II*,-,-,-,-,与强氧化剂等禁配物发生反应。禁配物:强氧化剂、强碱。危险的分解产物:氯化氢、氧化磷,"吞咽会中毒,皮肤接触会中毒,吸入致命,可能引起皮肤过敏","急性毒性-经口,类别3*急性毒性-经皮,类别3*急性毒性-吸入,类别2*皮肤致敏物,类别1致癌性,类别2危害水生环境-急性危害,类别1危害水生环境-长期危害,类别1",-
98,4685-14-7,2782,"1,1'-二甲基-4,4'-联吡啶阳离子",百草枯,I,-,-,-,-,与强氧化剂、强酸、强碱等禁配物发生反应。禁配物:强氧化剂、强酸、强碱。危险的分解产物:氮氧化物,"吞咽会中毒,皮肤接触会中毒,吸入致命,可能引起皮肤过敏","急性毒性-经口,类别3急性毒性-经皮,类别2急性毒性-吸入,类别1皮肤腐蚀/刺激,类别1严重眼损伤/眼刺激,类别1生殖毒性,类别2特异性靶器官毒性-一次接触,类别1特异性靶器官毒性-反复接触,类别1危害水生环境-急性危害,类别1危害水生环境-长期危害,类别1",-
99,55-38-9,2784,"O,O-二甲基-O-(4-甲硫基-3-甲基苯基)硫代磷酸酯",倍硫磷；百治屠,III*,-,-,-,-,与强氧化剂等禁配物发生反应。禁配物：强氧化剂、强碱。危险的分解产物：氯化氢、氧化硫、氧化磷,吸入会中毒,急性毒性-经口，类别4急性毒性-经皮，类别4急性毒性-吸入，类别3*生殖细胞致突变性，类别2特异性靶器官毒性-反复接触，类别1危害水生环境-急性危害，类别1危害水生环境-长期危害，类别1,-
100,298-00-0,3017,"O,O-二甲基-O-(4-硝基苯基)硫代磷酸酯",甲基对硫磷；甲基1605,II*,易燃液体，类别3,-,-,-,遇强酸或碱分解。与强氧化剂等禁配物发生反应。禁配物：强氧化剂。危险的分解产物：氮氧化物、氧化硫、氧化磷,易燃液体，吞咽致命，皮肤接触会致命，吸入致命,急性毒性-经口，类别2*急性毒性-经皮，类别3*急性毒性-吸入，类别2*特异性靶器官毒性-反复接触，类别2*危害水生环境-急性危害，类别1危害水生环境-长期危害，类别1,限
101,13171-21-6,3018,"O,O-二甲基-O-[1-甲基-2氯-2-(二乙基氨基甲酰)乙烯基]磷酸酯",2-氯-3-(二乙氨基)-1-甲基-3-氧代-1-丙烯二甲基磷酸酯；磷胺；大灭虫,II*,-,-,-,-,与强氧化剂、碱类等禁配物发生反应。在碱液中能迅速分解。禁配物：强氧化剂、碱类。危险的分解产物：一氧化碳、氯化氢、氮氧化物,"吞咽致命,皮肤接触会中毒","急性毒性-经口,类别2*急性毒性-经皮,类别3*生殖细胞致突变性,类别2危害水生环境-急性危害,类别1危害水生环境-长期危害,类别1",限
102,1113-02-6,3017,"O,O-二甲基-S-(N-甲基氨基甲酰甲基)硫代磷酸酯",氧乐果；氧化乐果；华果,II,-,-,-,-,与强氧化剂、碱类等禁配物发生反应。禁配物：强氧化剂、碱类。危险的分解产物：氮氧化物、氧化硫、氧化磷,吞咽致命,"急性毒性-经口,类别2急性毒性-经皮,类别4危害水生环境-急性危害,类别1",-
103,732-11-6,3017,"O,O-二甲基-S-(酞酰亚胺基甲基)二硫代磷酸酯",亚胺硫磷；亚胺磷；肽胺磷酸,IV/III,-,-,-,-,与强氧化剂、强碱等禁配物发生反应。禁配物：强氧化剂、强碱。危险的分解产物：氮氧化物、氧化硫、氧化磷,-,"急性毒性-经口,类别4急性毒性-经皮,类别4危害水生环境-急性危害,类别1危害水生环境-长期危害,类别1",-
